pincode,month,total_monthly_count,bio_updates,demo_updates,enrollments,num_recorded_days,count_active_days,bio_demo_ratio,enroll_demo_ratio,current_bio_demo_ratio,current_enroll_demo_ratio,bio_demo_ratio_change,enroll_demo_ratio_change,bio_demo_imbalance,enroll_demo_imbalance,stream_imbalance_flag
400601,2025-03,1157,0,1157,0,1,1,2.210084033613445,0.146218487394958,0.0,0.0,0.0,0.0,True,True,True
400601,2025-04,2111,1224,887,0,1,1,2.210084033613445,0.146218487394958,1.3799323562554906,0.0,0.6243800392399322,0.0,False,True,True
400601,2025-05,1821,1697,0,124,7,7,2.210084033613445,0.146218487394958,1697000000000.0,123999999999.99998,767844106116.4508,848045971211.6395,True,True,True
400601,2025-06,922,835,0,87,17,17,2.210084033613445,0.146218487394958,835000000000.0,87000000000.0,377813688041.97784,594999995930.7471,True,True,True
400601,2025-07,1319,1319,0,0,20,20,2.210084033613445,0.146218487394958,1319000000000.0,0.0,596809885661.5195,0.0,True,True,True
400601,2025-08,941,941,0,0,19,19,2.210084033613445,0.146218487394958,941000000000.0,0.0,425775665206.58826,0.0,True,True,True
400602,2025-03,494,0,494,0,1,1,8.804878048780488,0.1951219512195122,0.0,0.0,0.0,0.0,True,True,True
400602,2025-04,361,361,0,0,1,1,8.804878048780488,0.1951219512195122,361000000000.0,0.0,40999999995.34349,0.0,True,True,True
400602,2025-05,510,510,0,0,9,9,8.804878048780488,0.1951219512195122,509999999999.99994,0.0,57922437666.55174,0.0,True,True,True
400602,2025-06,293,278,0,15,18,18,8.804878048780488,0.1951219512195122,278000000000.0,15000000000.0,31573407198.63017,76874999606.01562,True,True,True
400602,2025-07,286,286,0,0,17,17,8.804878048780488,0.1951219512195122,286000000000.0,0.0,32481994456.144703,0.0,True,True,True
400602,2025-08,346,346,0,0,20,20,8.804878048780488,0.1951219512195122,346000000000.0,0.0,39296398887.50373,0.0,True,True,True
400602,2025-09,930,562,324,44,28,28,8.804878048780488,0.1951219512195122,1.7345679012292143,0.13580246913538332,0.1970007865438248,0.6959876507519028,True,False,True
400602,2025-10,586,377,189,20,30,30,8.804878048780488,0.1951219512195122,1.9947089946984409,0.10582010581954593,0.2265458968790795,0.5423280395457417,True,False,True
400602,2025-11,1291,649,597,45,30,30,8.804878048780488,0.1951219512195122,1.087102177552618,0.0753768844219843,0.12346589826757683,0.38630653068284854,True,False,True
400602,2025-12,1258,687,529,42,30,30,8.804878048780488,0.1951219512195122,1.2986767485797757,0.07939508506601249,0.14749514317374932,0.40689980887795246,True,False,True
400602,2026-01,135,86,41,8,3,3,8.804878048780488,0.1951219512195122,2.097560975558596,0.19512195121475315,0.23822714678153775,0.9999999948506099,True,False,True
400603,2025-03,1270,732,538,0,1,1,36.2,0.2,1.3605947955365045,0.0,0.03758549158836793,0.0,True,True,True
400603,2025-04,423,423,0,0,1,1,36.2,0.2,423000000000.0,0.0,11685082872.605385,0.0,True,True,True
400603,2025-05,1115,1115,0,0,7,7,36.2,0.2,1115000000000.0,0.0,30801104971.524834,0.0,True,True,True
400603,2025-06,396,368,0,28,21,21,36.2,0.2,368000000000.0,28000000000.0,10165745856.07277,139999999300.0,True,True,True
400603,2025-07,401,401,0,0,21,21,36.2,0.2,401000000000.0,0.0,11077348065.992338,0.0,True,True,True
400603,2025-08,169,169,0,0,16,16,36.2,0.2,169000000000.0,0.0,4668508287.163854,0.0,True,True,True
400603,2025-09,1051,781,228,42,29,29,36.2,0.2,3.425438596476204,0.18421052631498155,0.09462537559065134,0.9210526269696446,True,False,True
400603,2025-10,689,543,118,28,24,24,36.2,0.2,4.60169491521524,0.23728813559120943,0.12711864406320778,1.1864406720238436,True,False,True
400603,2025-11,1168,742,396,30,30,30,36.2,0.2,1.8737373737326422,0.07575757575738445,0.05176070093041109,0.3787878768929829,True,False,True
400603,2025-12,1069,624,423,22,30,30,36.2,0.2,1.4751773049610517,0.05200945626465246,0.04075075427956633,0.2600472800230259,True,True,True
400603,2026-01,88,70,15,3,3,3,36.2,0.2,4.666666666355556,0.19999999998666668,0.12891344381841555,0.9999999949333334,True,False,True
400604,2025-03,3576,1917,1659,0,1,1,13.57615894039735,0.1788079470198675,1.1555153707045476,0.0,0.08511357120172416,0.0,True,True,True
400604,2025-04,1653,1653,0,0,1,1,13.57615894039735,0.1788079470198675,1653000000000.0,0.0,121757560966.64128,0.0,True,True,True
400604,2025-05,2524,2524,0,0,7,7,13.57615894039735,0.1788079470198675,2524000000000.0,0.0,185914146327.76926,0.0,True,True,True
400604,2025-06,2640,2002,0,638,26,26,13.57615894039735,0.1788079470198675,2001999999999.9998,638000000000.0,147464390233.0404,3568074054119.2905,True,True,True
400604,2025-07,2050,2050,0,0,20,20,13.57615894039735,0.1788079470198675,2049999999999.9998,0.0,150999999988.87753,0.0,True,True,True
400604,2025-08,1627,1627,0,0,23,23,13.57615894039735,0.1788079470198675,1627000000000.0,0.0,119842439015.56282,0.0,True,True,True
400604,2025-09,3286,2274,800,212,29,29,13.57615894039735,0.1788079470198675,2.842499999996447,0.2649999999996688,0.20937439022821852,1.482037028746756,True,False,True
400604,2025-10,3841,2905,792,144,27,27,13.57615894039735,0.1788079470198675,3.667929292924662,0.18181818181795226,0.27017430399552567,1.0168350111469893,True,False,True
400604,2025-11,7568,4897,2366,305,30,30,13.57615894039735,0.1788079470198675,2.069737954352464,0.12890955198642057,0.15245386882156173,0.7209386015217697,True,False,True
400604,2025-12,7484,4826,2486,172,30,30,13.57615894039735,0.1788079470198675,1.941271118261488,0.06918744971839534,0.14299118967604538,0.38693721663148817,True,False,True
