pincode,month,bio_child,bio_adult,bio_total,demo_child,demo_adult,demo_total,enrol_infant,enrol_child,enrol_adult,enrol_total,total_txn,SGI_Score,Identity_Churn,Bio_Distress,Enrol_Saturation
421302,2025-08,2012.0,4755.0,6767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6767.0,0.9998522458628841,0.7025709219858156,4755.0,0.0
421306,2025-04,1396.0,3180.0,4576.0,0.0,0.0,0.0,220.0,98.0,11.0,329.0,4905.0,0.9997815162770374,0.6481858948226661,3180.0,0.06706074194863433
400612,2025-08,1688.0,3112.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,0.9997917100604041,0.6481982920224953,3112.0,0.0
421302,2025-03,0.0,0.0,0.0,392.0,4257.0,4649.0,0.0,0.0,0.0,0.0,4649.0,0.9997849462365591,0.915483870967742,0.0,0.0
401107,2025-03,0.0,0.0,0.0,328.0,3826.0,4154.0,0.0,0.0,0.0,0.0,4154.0,0.9997593261131167,0.9208182912154032,0.0,0.0
421201,2025-05,1335.0,2563.0,3898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3898.0,0.9997435239805078,0.6573480379584509,2563.0,0.0
401105,2025-05,1180.0,2509.0,3689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3689.0,0.9997289972899729,0.6799457994579946,2509.0,0.0
421306,2025-05,1191.0,2357.0,3548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3548.0,0.9997182304874612,0.664130741053818,2357.0,0.0
400605,2025-04,1068.0,2086.0,3154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3154.0,0.9996830427892235,0.6611727416798732,2086.0,0.0
421503,2025-07,625.0,1440.0,2065.0,0.0,0.0,0.0,361.0,322.0,27.0,710.0,2775.0,0.9995159728944821,0.5187319884726225,1440.0,0.2557636887608069
421301,2025-08,818.0,1882.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.9996297667530544,0.6967789707515735,1882.0,0.0
400708,2025-04,938.0,1718.0,2656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2656.0,0.9996236356793377,0.6465939028980052,1718.0,0.0
401107,2025-08,935.0,1694.0,2629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2629.0,0.9996197718631179,0.644106463878327,1694.0,0.0
421306,2025-03,0.0,0.0,0.0,242.0,2325.0,2567.0,0.0,0.0,0.0,0.0,2567.0,0.9996105919003115,0.905373831775701,0.0,0.0
400604,2025-05,757.0,1767.0,2524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2524.0,0.9996039603960396,0.6998019801980198,1767.0,0.0
421305,2025-05,868.0,1578.0,2446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2446.0,0.9995913363302003,0.6448712709440131,1578.0,0.0
401105,2025-04,714.0,1730.0,2444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2444.0,0.9995910020449897,0.7075664621676891,1730.0,0.0
401602,2025-05,215.0,2207.0,2422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2422.0,0.9995872884853487,0.9108543128353281,2207.0,0.0
421503,2025-06,528.0,1224.0,1752.0,0.0,0.0,0.0,362.0,260.0,35.0,657.0,2409.0,0.9994295493439818,0.5078838174273859,1224.0,0.2726141078838174
400604,2025-06,586.0,1416.0,2002.0,0.0,0.0,0.0,195.0,152.0,12.0,359.0,2361.0,0.9995007488766849,0.5994919559695173,1416.0,0.15198983911939035
400605,2025-07,683.0,1567.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250.0,0.9995557529986673,0.6961350510884051,1567.0,0.0
400708,2025-06,520.0,1289.0,1809.0,0.0,0.0,0.0,244.0,140.0,14.0,398.0,2207.0,0.9994475138121547,0.583786231884058,1289.0,0.1802536231884058
421201,2025-07,692.0,1513.0,2205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2205.0,0.9995466908431551,0.685856754306437,1513.0,0.0
400706,2025-04,692.0,1410.0,2102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2102.0,0.9995244888254874,0.6704707560627675,1410.0,0.0
400604,2025-07,533.0,1517.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.0,0.999512432959532,0.7396392003900536,1517.0,0.0
400709,2025-04,744.0,1296.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.0,0.9995100440960314,0.6349828515433611,1296.0,0.0
421306,2025-08,560.0,1476.0,2036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.0,0.9995090819833088,0.7245949926362297,1476.0,0.0
421503,2025-04,568.0,1148.0,1716.0,0.0,0.0,0.0,226.0,62.0,23.0,311.0,2027.0,0.9994175888177053,0.5660749506903353,1148.0,0.15335305719921105
400601,2025-05,575.0,1122.0,1697.0,0.0,0.0,0.0,80.0,30.0,14.0,124.0,1821.0,0.9994110718492344,0.6158068057080132,1122.0,0.06805708013172337
421503,2025-08,526.0,1290.0,1816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1816.0,0.9994496422674739,0.7099614749587232,1290.0,0.0
400605,2025-06,437.0,1255.0,1692.0,0.0,0.0,0.0,42.0,45.0,0.0,87.0,1779.0,0.9994093325457767,0.7050561797752809,1255.0,0.04887640449438202
421201,2025-03,0.0,0.0,0.0,157.0,1539.0,1696.0,0.0,0.0,0.0,0.0,1696.0,0.9994107248084856,0.9068945197407189,0.0,0.0
421201,2025-08,379.0,1281.0,1660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.0,0.9993979530403372,0.7712221553281156,1281.0,0.0
400604,2025-04,583.0,1070.0,1653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1653.0,0.9993954050785974,0.6469165659008465,1070.0,0.0
401105,2025-07,454.0,1175.0,1629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1629.0,0.9993865030674847,0.7208588957055214,1175.0,0.0
